"file","title","description","alt_text","destination_url","board"
"01-kodex-store-archive-made-matter.jpg","KODEX - Archive Made Matter","Free plates, print proofs, editions. KODEX archive by Ocin / Wenu Mapu. Dark ritual luxury, founder-made visual work, no stock imagery.","ARCHIVE MADE MATTER pin using real KODEX artwork with dark editorial framing and Wenu Mapu archive typography.","https://www.wenumapuonline.com/kodex/store/","KODEX - Wenu Mapu"
"02-kodex-cardinal-bloom-print.jpg","KODEX Cardinal Bloom Print Proof","Founder-made Ocin archive, prepared for print. KODEX archive by Ocin / Wenu Mapu. Dark ritual luxury, founder-made visual work, no stock imagery.","CARDINAL BLOOM pin using real KODEX artwork with dark editorial framing and Wenu Mapu archive typography.","https://00b00418.wenu-frontend.pages.dev/img/kodex/printful/kodex-ocin-32302-cardinal-bloom-12x12-300dpi-bleed.jpg","KODEX Prints"
"03-kodex-mandala-axis-print.jpg","KODEX Mandala Axis Print Proof","Black and white geometry from the Ocin archive. KODEX archive by Ocin / Wenu Mapu. Dark ritual luxury, founder-made visual work, no stock imagery.","MANDALA AXIS pin using real KODEX artwork with dark editorial framing and Wenu Mapu archive typography.","https://00b00418.wenu-frontend.pages.dev/img/kodex/printful/kodex-ocin-30110-mandala-axis-12x12-300dpi-bleed.jpg","KODEX Prints"
"04-kodex-square-field-print.jpg","KODEX Square Field Print Proof","Dense signal, square format, print-ready. KODEX archive by Ocin / Wenu Mapu. Dark ritual luxury, founder-made visual work, no stock imagery.","SQUARE FIELD pin using real KODEX artwork with dark editorial framing and Wenu Mapu archive typography.","https://00b00418.wenu-frontend.pages.dev/img/kodex/printful/kodex-ocin-30211-square-field-10x10-300dpi-bleed.jpg","KODEX Prints"
"05-kodex-achroma-true-forms.jpg","KODEX Achroma - True Forms","Black and white ritual geometry. KODEX archive by Ocin / Wenu Mapu. Dark ritual luxury, founder-made visual work, no stock imagery.","TRUE FORMS pin using real KODEX artwork with dark editorial framing and Wenu Mapu archive typography.","https://www.wenumapuonline.com/kodex/movement/achroma/","KODEX Achroma"
"06-kodex-achroma-descent.jpg","KODEX Achroma - Descent","A body of line, shadow, and orientation. KODEX archive by Ocin / Wenu Mapu. Dark ritual luxury, founder-made visual work, no stock imagery.","DESCENT pin using real KODEX artwork with dark editorial framing and Wenu Mapu archive typography.","https://www.wenumapuonline.com/kodex/folio/ii/","KODEX Achroma"
"07-kodex-disco-solar-signal.jpg","KODEX Disco Solar - Signal in Colour","Neon fractal field from the archive. KODEX archive by Ocin / Wenu Mapu. Dark ritual luxury, founder-made visual work, no stock imagery.","SIGNAL IN COLOUR pin using real KODEX artwork with dark editorial framing and Wenu Mapu archive typography.","https://www.wenumapuonline.com/kodex/movement/disco/","KODEX Disco Solar"
"08-kodex-disco-solar-radiance.jpg","KODEX Disco Solar - Radiance","Colour as movement, archive as signal. KODEX archive by Ocin / Wenu Mapu. Dark ritual luxury, founder-made visual work, no stock imagery.","RADIANCE FIELD pin using real KODEX artwork with dark editorial framing and Wenu Mapu archive typography.","https://www.wenumapuonline.com/kodex/movement/disco/","KODEX Disco Solar"
"09-kodex-tribe-space-body-signal.jpg","KODEX Tribe Space - Body Signal","Mask, body, sign, and ritual presence. KODEX archive by Ocin / Wenu Mapu. Dark ritual luxury, founder-made visual work, no stock imagery.","BODY SIGNAL pin using real KODEX artwork with dark editorial framing and Wenu Mapu archive typography.","https://www.wenumapuonline.com/kodex/movement/tribe/","KODEX Tribe Space"
"10-kodex-tribe-space-mask.jpg","KODEX Tribe Space - Mask Field","A visual language between body and archive. KODEX archive by Ocin / Wenu Mapu. Dark ritual luxury, founder-made visual work, no stock imagery.","MASK FIELD pin using real KODEX artwork with dark editorial framing and Wenu Mapu archive typography.","https://www.wenumapuonline.com/kodex/movement/tribe/","KODEX Tribe Space"
"11-kodex-archive-plate-27.jpg","KODEX Archive Plate 27","A complete work from the KODEX archive. KODEX archive by Ocin / Wenu Mapu. Dark ritual luxury, founder-made visual work, no stock imagery.","PLATE 27 pin using real KODEX artwork with dark editorial framing and Wenu Mapu archive typography.","https://www.wenumapuonline.com/kodex/works/","KODEX Archive"
"12-kodex-archive-plate-31.jpg","KODEX Archive Plate 31","Matter, symbol, and technology in one field. KODEX archive by Ocin / Wenu Mapu. Dark ritual luxury, founder-made visual work, no stock imagery.","PLATE 31 pin using real KODEX artwork with dark editorial framing and Wenu Mapu archive typography.","https://www.wenumapuonline.com/kodex/works/","KODEX Archive"
"13-kodex-free-downloads.jpg","KODEX Free Downloads","Free archive plates for print, remix, projection. KODEX archive by Ocin / Wenu Mapu. Dark ritual luxury, founder-made visual work, no stock imagery.","TAKE THE PLATE pin using real KODEX artwork with dark editorial framing and Wenu Mapu archive typography.","https://www.wenumapuonline.com/kodex/store/#downloads","KODEX - Wenu Mapu"
"14-kodex-nft-draft-collectible.jpg","KODEX NFT Draft - Cardinal Bloom","Prepared asset. Minting remains human-signed. KODEX archive by Ocin / Wenu Mapu. Dark ritual luxury, founder-made visual work, no stock imagery.","COLLECTIBLE FILE pin using real KODEX artwork with dark editorial framing and Wenu Mapu archive typography.","https://www.wenumapuonline.com/kodex","KODEX Collectibles"
"15-kodex-wenu-mapu-outer-space-dimensions.jpg","Wenu Mapu - Outer Space Dimensions","The body is a small cosmos. The archive is open. KODEX archive by Ocin / Wenu Mapu. Dark ritual luxury, founder-made visual work, no stock imagery.","OUTER SPACE DIMENSIONS pin using real KODEX artwork with dark editorial framing and Wenu Mapu archive typography.","https://www.wenumapuonline.com/kodex/","Wenu Mapu - Outer Space Dimensions"
