priority,wc_id,name,suggested_price_usd,price_range,category,rationale,notes
1,2086,Ritual Ring No.3 — Sterling Silver 925 (casting) + Atacama Meteorite,260,220-300,Ritual Pieces,Premium tier anchor. 925 silver casting + Atacama meteorite. Maria Tash/Tawapa references support $250-350. User confirmed material spec 2026-05-11.,Open WP admin → Product 2086 → set Regular price 260 → publish. Update description: 'Sterling silver 925 in casting + Atacama iron meteorite'. Include Certificate of Authenticity reference.
2,2085,Ritual Ring No.19 — Sterling Silver 925 (casting) + Atacama Meteorite,240,200-280,Ritual Pieces,Same line as 2086. 925 casting + meteorite. Slightly less material spend justifies $20 lower. Pair as collection.,Set Regular price 240. Same material text as 2086. Cross-link in description: 'See also Ritual Ring No.3'.
3,2076,Mystic Snake Piercing,52,40-60,Piercing,Snake symbology is highly searched + visually striking. Sweet spot for IG traction.,Set Regular price 52. Add 'titanium ASTM F-136' to description if not present.
4,2077,Mystic Bee Titanium Piercing,52,40-60,Piercing,Pairs with Mystic Snake as a 'Mystic Series' upsell. Same tier.,Set Regular price 52. Consider bundle option later (Snake + Bee = $95).
5,2060,Golden Drop-Shaped Clicker Septum,58,45-70,Piercing,Clicker septums in gold range command $50+. Drop shape is design differentiator.,Set Regular price 58.
6,2055,6mm Titanium Septum Rings,45,35-55,Piercing,Septum rings entry tier. Volume product.,Set Regular price 45.
7,2054,6mm Silver Titanium Septum Rings,48,35-55,Piercing,Same as 2055 + silver accent — justifies $3 premium.,Set Regular price 48.
8,2069,Tribal Bronze Expansions,62,45-80,Plugs/Tunnels,Bronze + tribal motif = mid-tier earcurves with cultural narrative. Differentiates from generic plugs.,Set Regular price 62.
9,2066,Black Surgical Steel Snake Saddle Expander (Golden Eye),68,55-85,Plugs/Tunnels,'Golden Eye' detail + saddle form factor justifies upper-mid tier.,Set Regular price 68.
10,2073,Teardrop Amethyst,75,60-90,Plugs/Tunnels,Stone-set plugs in this size range cost $50-120 industry-wide. Amethyst is recognizable.,Set Regular price 75.
11,2059,Anillo Gota,38,30-50,Rings,Translate slug to 'Drop Ring' for SEO. Simple form factor.,Set Regular price 38. RENAME slug+title to English: 'Drop Ring' or 'Teardrop Ring'.
12,2061,Single Marquezs,42,35-55,Rings,'Marquise' (correct spelling) — cut style. Worth fixing the typo before pricing.,Set Regular price 42. FIX slug+name: marquezs → marquise.
13,2062,3 Puntitos,32,25-45,Piercing,'Three Dots' titanium piercing. Translate to English.,Set Regular price 32. Translate to 'Three Dots Piercing'.
14,2063,Flor Loto Expansion,55,45-75,Plugs/Tunnels,Lotus flower design carries spiritual/ritual association.,Set Regular price 55. Translate to 'Lotus Flower Expansion'.
15,2064,Tunel Expansion,28,20-40,Plugs/Tunnels,Basic tunnel — keep accessible entry price.,Set Regular price 28. Translate to 'Tunnel Expansion'.
16,2065,Expansion Lisa,22,18-35,Plugs/Tunnels,Plain expansion — entry tier filler.,Set Regular price 22. Translate to 'Smooth Plug' or 'Plain Plug'.
17,2067,Peso Ornamental,68,50-90,Ear Weights,Ear weight category currently empty in navigation — pricing this fills the gap.,Set Regular price 68. Translate to 'Ornamental Ear Weight'.
18,2068,Bronce Expansion Espiral,58,45-75,Plugs/Tunnels,Spiral bronze — design differentiator over generic plugs.,Set Regular price 58. Translate to 'Bronze Spiral Expansion'.
19,2056,Peso Geometrico Triangular,72,55-95,Ear Weights,Geometric ear weights with brand alignment. Fills Ear Weights category.,Set Regular price 72. Translate to 'Triangular Geometric Weight'.
20,2057,Clip Multi-Anillo,35,25-50,Piercing,Multi-ring clip — specialty piece.,Set Regular price 35. Translate to 'Multi-Ring Clip'.
21,2058,Septum Cadenas,48,40-65,Piercing,Septum + chain — visually distinctive.,Set Regular price 48. Translate to 'Septum Chain'.
22,2070,Medusa Expansion,62,45-80,Plugs/Tunnels,Medusa imagery = mythological draw. Quality design justifies tier.,Set Regular price 62.
23,2074,Pendiente Aro Gran Calibre,55,40-75,Ear Weights,Heavy-gauge hanger fills Ear Weights gap.,Set Regular price 55. Translate to 'Large Gauge Hoop' or 'Heavy Gauge Hoop Hanger'.
