id,source_file,working_name,archetype,grid_id,aspect_ratio,density,negative_space_pct,tl,tr,bl,br,dark_pct,dominant_category,dominant_pct,headline_axis,type_density,rectilinear,organic,symmetry,perspective,grain,glitch,motion_profiles,transfer_rule,do_not_copy
REF_01,54718.jpg,FOSSIL_COSMOLOGY,orbital_relic,KDX_G01_ORBITAL_RELIC,1:1,0.83,11,0.52,0.76,0.6,0.86,0.0,red,21.5,vertical,medium,0.42,0.58,0.48,flat_orbital,0.64,0.16,MOTION_02_ORBITAL_DRIFT | MOTION_03_FIELD_MARBLE | MOTION_04_SCAN_VERTICAL | MOTION_08_GLITCH_BURST,"Use a dominant circular chamber, one narrow information rail and a compressed technical footer. Replace the fossil with an original KODEX relic or cosmology core.",ammonite shell | exact sun glyph | lettering | source diagrams
REF_02,54717.jpg,SPECIMEN_EMISSION,specimen_dossier,KDX_G02_SPECIMEN_DOSSIER,1:1,0.91,7,0.75,0.9,0.92,0.83,7.7,yellow_lime,29.4,vertical,high,0.62,0.38,0.34,flat_dossier,0.72,0.25,MOTION_01_AMBIENT_BREATH | MOTION_03_FIELD_MARBLE | MOTION_04_SCAN_VERTICAL | MOTION_07_DATA_TICK | MOTION_08_GLITCH_BURST,Reserve one-third for a command rail and two-thirds for an original specimen. Give the specimen a slow respiration and the emission a faster turbulent layer.,exact mask | Japanese lettering | radiation symbol | barcode
REF_03,54716.jpg,MUTATION_SEQUENCE,sequential_triptych,KDX_G03_SEQUENCE_TRIPTYCH,1:1,0.78,9,0.6,0.86,0.58,0.88,23.7,dark,23.7,vertical,low,0.7,0.3,0.76,flat_sequence,0.54,0.48,MOTION_06_SEQUENCE_MUTATION | MOTION_04_SCAN_VERTICAL | MOTION_09_CHROMA_ECHO | MOTION_08_GLITCH_BURST,Use three equal temporal windows showing one KODEX organism in successive states. Keep the title rail static while the images mutate.,photographic eye | exact title | three source frames
REF_04,54719.jpg,PREINTERNET_RITUAL,dense_orbital_field,KDX_G04_DENSE_ORBITAL_FIELD,1:1,0.96,4,0.89,0.95,0.91,0.93,56.9,dark,56.9,mixed,extreme,0.34,0.66,0.4,orbital_flat,0.8,0.3,MOTION_02_ORBITAL_DRIFT | MOTION_05_GRID_PULSE | MOTION_07_DATA_TICK | MOTION_08_GLITCH_BURST | MOTION_11_AUDIO_PRESSURE,Use one central KODEX subject inside several independent orbital systems. Peripheral data must move at different rates so the field feels computational rather than decorative.,sleeping figure | exact spiral | source slogans | source symbols
REF_05,54715.jpg,BIOMETRIC_CLOCK,chronometric_stack,KDX_G05_BIOMETRIC_CLOCK,2:3,0.84,8,0.76,0.76,0.82,0.82,40.0,dark,40.0,horizontal,medium,0.88,0.12,0.86,flat_instrument,0.38,0.16,MOTION_03_FIELD_MARBLE | MOTION_07_DATA_TICK | MOTION_05_GRID_PULSE | MOTION_08_GLITCH_BURST,"Use a strict vertical stack: biological signal, dominant time/status readout and modular controls. The clock is semantic state, not decoration.",face | 20:01 numerals | source logo | source footer
REF_06,54714.jpg,INSOMNIA_FIELD,marbled_portal,KDX_G06_MARBLE_PORTAL,2:3,0.78,10,0.62,0.82,0.6,0.86,49.3,dark,49.3,horizontal,low,0.48,0.52,0.22,fluid_flat,0.42,0.18,MOTION_03_FIELD_MARBLE | MOTION_01_AMBIENT_BREATH | MOTION_10_POINTER_PARALLAX | MOTION_09_CHROMA_ECHO,Keep one slow full-height organic field and anchor it with a rigid left instrument column. Floating windows should move slower than the cursor.,source marbling | insomnia wordmark | source icons | source signature
REF_07,54713.jpg,ARCHIVE_WARRIOR,archive_dossier,KDX_G07_ARCHIVE_DOSSIER,2:3,0.74,17,0.78,0.7,0.88,0.66,58.9,dark,58.9,horizontal,medium,0.6,0.4,0.18,flat_archive,0.24,0.12,MOTION_01_AMBIENT_BREATH | MOTION_07_DATA_TICK | MOTION_04_SCAN_VERTICAL | MOTION_10_POINTER_PARALLAX,Assign 58–65% of the canvas to an original KODEX specimen and 35–42% to records. The bridge between them must represent a live signal.,warrior statue | brain drawing | wordmark | source labels
REF_08,54711.jpg,WORLD_AWAKENING,quadrant_transmission,KDX_G08_QUADRANT_TRANSMISSION,3:4,0.88,6,0.86,0.88,0.82,0.79,42.6,dark,42.6,horizontal,high,0.68,0.32,0.7,multi_window,0.62,0.32,MOTION_02_ORBITAL_DRIFT | MOTION_05_GRID_PULSE | MOTION_06_SEQUENCE_MUTATION | MOTION_09_CHROMA_ECHO | MOTION_10_POINTER_PARALLAX,Use a repeated headline plus a 2×2 field where every quadrant has a distinct motion tempo. One quadrant may be perspective/depth.,earth globe | wire hand | human silhouettes | source slogans
REF_09,54710.jpg,NEW_WORLD_PORTAL,wireframe_optics,KDX_G09_WIREFRAME_OPTICS,3:4,0.72,14,0.74,0.75,0.71,0.67,63.0,dark,63.0,horizontal,medium,0.73,0.27,0.7,explicit_wireframe,0.42,0.1,MOTION_02_ORBITAL_DRIFT | MOTION_05_GRID_PULSE | MOTION_10_POINTER_PARALLAX | MOTION_12_STATE_TRANSITION,Use a disciplined two-panel perspective system: one warped surface and one directional corridor. Keep the palette nearly binary.,new world title | skull icon | exact vortex | exact terrain
REF_10,54712.jpg,TEMPORAL_MACHINE,control_machine,KDX_G10_TEMPORAL_MACHINE,3:4,0.81,9,0.83,0.84,0.73,0.74,61.7,dark,61.7,horizontal,medium,0.56,0.44,0.58,flat_control,0.68,0.34,MOTION_02_ORBITAL_DRIFT | MOTION_07_DATA_TICK | MOTION_08_GLITCH_BURST | MOTION_12_STATE_TRANSITION,"Use a dominant machine chamber, one explicit control row and two secondary result windows. The controls must change state, not merely decorate.",source orbital machine | source buttons | source title | source outputs
