id,sku,nombre,tier,razon_categorizacion,tiene_foto,precio_actual,precio_sugerido_usd,prioridad_publicacion,notas_copy
WM-HAN-001,WM-HAN-001,Witral Vilu Hanger,atelier-assembled,Nombre con palabra mapudungun (witral/vilu) — hanger ensamblado en taller. NocoDB marca como Handmade by Ocin.,si,$15,$65,1,Foto procesada en product-macro/final. Renombrar desde $15 a $65 tier — el nombre original lo soporta.
WM-EAR-001,WM-EAR-001,Ethnic Shipibo Hoop Earrings (Gold & Silver),curated,Pieza de proveedor — nombre referencias Shipibo (amazónico) que Wenu Mapu no reclama como suyo. Voz curatorial pura.,si,$0,$38,2,ALERTA: 'Shipibo' es cultura amazónica peruana — NO usar copy ancestral/ritual. Renombrar: 'Mixed-Metal Hoop Earrings — Gold & Silver'. Copy: solo material y forma.
WM-HAN-005,WM-HAN-005,Ornamental Bronze Snake Weights,curated,Snake weights de proveedor. Foto disponible. Sin claim ancestral.,si,$0,$52,1,Foto lista. Precio 0 — bloqueo de venta. Asignar precio y publicar hoy.
WM-HAN-006,WM-HAN-006,Golden Stainless Steel Weights with Black Obsidian,curated,Pieza de proveedor con piedra natural (obsidiana). Sin claim ancestral.,si,$0,$55,1,Foto lista. Precio 0 — bloqueo de venta.
WM-HAN-007,WM-HAN-007,Sanskrit Mantra Hanger with Secret Compartment,curated,ALERTA CRÍTICA: 'Sanskrit Mantra' mezcla hinduismo — prohibido en copy Wenu Mapu. Pieza curada de proveedor.,si,$0,$45,3,RENOMBRAR obligatorio antes de publicar. Sugerido: 'Engraved Brass Hanger with Compartment'. Eliminar toda referencia a mantra/sánscrito del copy.
WM-HAN-008,WM-HAN-008,Golden Amethyst Teardrop Hanger,curated,Hanger de proveedor con piedra natural. Sin claim ancestral.,si,$0,$58,1,Foto lista. Copy: piedra natural + material. Sin chakras ni healing.
WM-HAN-011,WM-HAN-011,Tribal Architecture Magnetic Hanger,curated,Hanger de proveedor. Palabra 'tribal' OK en Wenu Mapu (aparece en voz oficial). Magnético = detalle funcional a destacar.,si,$0,$52,2,Foto lista. Destacar el cierre magnético como diferencial funcional.
WM-HAN-012,WM-HAN-012,Heavy Cast Hook Hanger 14mm,curated,Hanger de proveedor. Descripción técnica directa. Sin claim.,si,$0,$48,2,Foto lista. Especificar gauge real al publicar.
WM-HAN-014,WM-HAN-014,Gold Captive Bead Ring Hanger with Black Stone,curated,Hanger CBR de proveedor con piedra negra.,si,$0,$45,2,Foto lista. Declarar material del piedra (onyx/obsidiana — confirmar).
WM-HAN-019,WM-HAN-019,Surgical Steel Snake Hangers (12mm),curated,Hanger de proveedor. Copy interno existente: 'Serpiente del cielo. Mudar la piel para subir más alto.' — voz válida para Wenu Mapu pero sin claim mapuche.,si,$0,$48,1,Foto lista. Copy interno ya es bueno. Usar como base sin agregar claim ancestral.
WM-OTH-001,WM-OTH-001,Premium Laser-Engraved Wood Display Box,curated,Box de display — producto de merchandising/accesorio. No es joya. Prioridad baja para publicación web.,si,$0,$28,5,Foto disponible pero categoría baja prioridad. Evaluar si va en tienda o solo en B2B/piercer outreach.
WM-PRC-001,WM-PRC-001,Snake Top Labret Piercing Pack,curated,Pack de piercings de proveedor. Titanio implant-grade si se confirma. Sin claim ancestral.,si,$0,$45,1,Foto lista. Pack = múltiples piezas — especificar cantidad en descripción.
WM-SAD-001,WM-SAD-001,Ornamental Opal Saddle Expansions,curated,Saddle de proveedor con opal. Sin claim ancestral.,si,$0,$65,1,Foto lista. Opal sintético o natural — confirmar y declarar en copy.
WM-SAD-002,WM-SAD-002,Reptile Texture Opal Saddle Expansion,curated,Saddle de proveedor. Textura reptil + opal.,si,$0,$62,2,Foto lista. Descripción textural — no agregar symbolismo.
WM-SAD-003,WM-SAD-003,Ornamental Surgical Steel Saddle 22mm,curated,Saddle de proveedor. Surgical steel. Técnico.,si,$0,$48,2,Foto lista. Gauge exacto es 22mm — verificar y declarar.
WM-SAD-004,WM-SAD-004,Ornamental Lace Saddle Expansion 25mm,curated,Saddle de proveedor con detalle lace (encaje). 25mm.,si,$0,$55,2,Foto lista.
WM-SAD-005,WM-SAD-005,Maya Fan Saddle Expansion 25mm,curated,ALERTA: 'Maya' es cultura mesoamericana — NO usar copy ancestral en voz Wenu Mapu. Pieza de proveedor. Renombrar.,si,$0,$52,3,RENOMBRAR obligatorio. Sugerido: 'Fan-Shape Saddle Expansion 25mm'. Eliminar referencia Maya del copy.
WM-SAD-006,WM-SAD-006,Polished Gold Saddle Expansions (20-25mm),curated,Saddle de proveedor. Acabado dorado. Varias tallas.,si,$0,$50,2,Foto lista. Declaro: acero quirúrgico con acabado dorado PVD (confirmar).
WM-TUN-005,WM-TUN-005,Brass-rimmed Wood Tunnels (12mm & 16mm),curated,Tunnel madera con borde en latón. Material mixto orgánico. Sin claim.,si,$0,$45,2,Foto lista. Madera — especificar tipo si se sabe.
