q,category,scene,roles,priority
cosmic orbit transparent,COSMOS,05 COSMOLOGY,hero|orbit|transition,5
black hole sticker,COSMOS,02 DESCENT,hero|portal,5
eclipse transparent,COSMOS,00 THRESHOLD,hero|seal,5
planet hologram sticker,COSMOS,05 COSMOLOGY,hero|artifact,4
galaxy portal transparent,COSMOS,02 DESCENT,hero|transition,5
constellation sticker,COSMOS,05 COSMOLOGY,micrographic|map,4
satellite orbit transparent,COSMOS,05 COSMOLOGY,orbit|micrographic,3
nebula transparent,COSMOS,05 COSMOLOGY,background|atmosphere,3
moon phase sticker,COSMOS,06 RETURN,timeline|symbol,4
solar flare transparent,COSMOS,04 MACHINE,signal|transition,3
eye scan transparent,OBSERVE,01 PROLOGUE,hero|observer,5
radar sticker,OBSERVE,01 PROLOGUE,micrographic|scan,5
crosshair transparent,OBSERVE,01 PROLOGUE,micrographic|lock,5
reticle sticker,OBSERVE,01 PROLOGUE,micrographic|lock,4
scanner transparent,OBSERVE,03 ARCHIVE,scan|overlay,4
surveillance eye sticker,OBSERVE,01 PROLOGUE,hero|observer,5
iris hologram transparent,OBSERVE,01 PROLOGUE,hero|hologram,5
signal detected sticker,OBSERVE,01 PROLOGUE,status|micrographic,4
glitch transparent,SYSTEM,GLOBAL,transition|anomaly,5
loading interface sticker,SYSTEM,GLOBAL,loader|status,4
barcode transparent,SYSTEM,03 ARCHIVE,barcode|auth,5
data stream sticker,SYSTEM,04 MACHINE,background|telemetry,4
waveform transparent,SYSTEM,04 MACHINE,signal|telemetry,5
equalizer sticker,SYSTEM,04 MACHINE,audio|telemetry,4
warning alert transparent,SYSTEM,GLOBAL,alert|status,4
hud interface sticker,SYSTEM,GLOBAL,overlay|micrographic,5
terminal cursor transparent,SYSTEM,GLOBAL,cursor|micrographic,3
pixel noise sticker,SYSTEM,GLOBAL,texture|anomaly,3
scanline transparent,SYSTEM,GLOBAL,texture|scan,4
loading ring transparent,SYSTEM,GLOBAL,loader|orbit,4
neuron transparent,BIOCYBER,03 ARCHIVE,specimen|network,5
brain scan sticker,BIOCYBER,03 ARCHIVE,specimen|scan,4
dna helix transparent,BIOCYBER,04 MACHINE,specimen|motion,5
mycelium sticker,BIOCYBER,03 ARCHIVE,specimen|network,5
roots transparent,BIOCYBER,06 RETURN,hero|memory,5
cyber skull sticker,BIOCYBER,03 ARCHIVE,specimen|artifact,4
anatomy wireframe transparent,BIOCYBER,03 ARCHIVE,specimen|wireframe,4
cell division sticker,BIOCYBER,04 MACHINE,generative|specimen,4
snake spiral transparent,BIOCYBER,06 RETURN,symbol|cycle,5
tree of life sticker,BIOCYBER,06 RETURN,hero|memory,5
organic network transparent,BIOCYBER,04 MACHINE,network|background,4
xray transparent sticker,BIOCYBER,03 ARCHIVE,specimen|scan,3
alien head transparent,ALIEN_RITUAL,03 ARCHIVE,specimen|artifact,5
ufo sticker,ALIEN_RITUAL,05 COSMOLOGY,artifact|orbit,4
extraterrestrial transparent,ALIEN_RITUAL,03 ARCHIVE,specimen|artifact,4
sacred geometry sticker,ALIEN_RITUAL,05 COSMOLOGY,symbol|grid,5
sigil transparent,ALIEN_RITUAL,00 THRESHOLD,seal|symbol,5
alchemy symbol sticker,ALIEN_RITUAL,04 MACHINE,symbol|protocol,4
mandala transparent,ALIEN_RITUAL,00 THRESHOLD,hero|seal,5
occult eye sticker,ALIEN_RITUAL,01 PROLOGUE,observer|symbol,4
ritual circle transparent,ALIEN_RITUAL,00 THRESHOLD,portal|seal,5
portal glyph sticker,ALIEN_RITUAL,02 DESCENT,portal|glyph,5
ancient symbol transparent,ALIEN_RITUAL,GLOBAL,glyph|seal,4
cosmic serpent sticker,ALIEN_RITUAL,06 RETURN,symbol|cycle,5
rave laser transparent,TECHNO,04 MACHINE,transition|light,4
techno speaker sticker,TECHNO,04 MACHINE,audio|artifact,3
audio reactive transparent,TECHNO,04 MACHINE,audio|signal,5
synthesizer sticker,TECHNO,04 MACHINE,artifact|audio,3
cassette tape transparent,TECHNO,03 ARCHIVE,artifact|memory,4
vhs glitch sticker,TECHNO,GLOBAL,texture|anomaly,4
club light transparent,TECHNO,04 MACHINE,light|transition,3
acid smiley sticker,TECHNO,03 ARCHIVE,artifact|rave,3
oscilloscope transparent,TECHNO,04 MACHINE,signal|telemetry,5
sound wave sticker,TECHNO,04 MACHINE,signal|audio,4
pixel art transparent,PIXEL_ASCII,GLOBAL,fallback|artifact,4
ascii art sticker,PIXEL_ASCII,GLOBAL,fallback|message,5
wireframe hologram transparent,PIXEL_ASCII,GLOBAL,hero|wireframe,5
matrix code sticker,PIXEL_ASCII,04 MACHINE,background|data,4
computer grid transparent,PIXEL_ASCII,02 DESCENT,grid|perspective,4
digital glyph sticker,PIXEL_ASCII,GLOBAL,glyph|micrographic,5
low poly transparent,PIXEL_ASCII,03 ARCHIVE,artifact|specimen,3
3d wireframe sticker,PIXEL_ASCII,02 DESCENT,hero|perspective,4
